term,doc1.txt,doc2.txt,doc3.txt,doc4.txt,doc5.txt
Word = اتساع, Stemming_results = [{type = STEM, morpheme = اتساع}],0.0,0.0,0.0,0.04035793,0.0
Word = اثارا, Stemming_results = [{type = STEM, morpheme = اثار}],0.0,0.03747522,0.0,0.0,0.0
Word = اجهزه, Stemming_results = [{type = STEM, morpheme = اجهز}],0.0,0.0,0.041149262,0.0,0.0
Word = اخرون, Stemming_results = [{type = STEM, morpheme = اخر}],0.0,0.0,0.0,0.04035793,0.0
Word = اساسيا, Stemming_results = [{type = STEM, morpheme = اساسي}],0.0,0.0,0.0,0.04035793,0.0
Word = استثمرت, Stemming_results = [{type = STEM, morpheme = استثمرت}],0.0,0.0,0.0,0.0,0.03681776
Word = استراتيجيه, Stemming_results = [{type = STEM, morpheme = استراتيج}],0.0,0.03747522,0.0,0.0,0.0
Word = اصبحت, Stemming_results = [{type = STEM, morpheme = اصبحت}],0.0,0.0,0.0,0.0,0.03681776
Word = اطلاق, Stemming_results = [{type = STEM, morpheme = اطلاق}],0.03618297,0.0,0.0,0.0,0.0
Word = اعتماد, Stemming_results = [{type = STEM, morpheme = اعتماد}],0.0,0.03747522,0.0,0.0,0.0
Word = اكبر, Stemming_results = [{type = STEM, morpheme = اكبر}],0.0,0.03747522,0.0,0.0,0.0
Word = الاجتماعيه, Stemming_results = [{type = STEM, morpheme = اجتماع}],0.0,0.0,0.041149262,0.0,0.0
Word = الاخيره, Stemming_results = [{type = STEM, morpheme = اخير}],0.029192192,0.0,0.0,0.0,0.029704336
Word = الاستثمار, Stemming_results = [{type = STEM, morpheme = استثمار}],0.029192192,0.0,0.033198964,0.0,0.0
Word = الاصطناعي, Stemming_results = [{type = STEM, morpheme = اصطناع}],0.029192192,0.0,0.0,0.06512105,0.0
Word = الاطفال, Stemming_results = [{type = STEM, morpheme = اطفال}],0.0,0.0,0.041149262,0.0,0.0
Word = الاعتماد, Stemming_results = [{type = STEM, morpheme = اعتماد}],0.029192192,0.03023477,0.0,0.0,0.0
Word = الاقتصاديه, Stemming_results = [{type = STEM, morpheme = اقتصاد}],0.03618297,0.0,0.0,0.0,0.0
Word = الاقليمي, Stemming_results = [{type = STEM, morpheme = اقليم}],0.0,0.03747522,0.0,0.0,0.0
Word = الاقليميه, Stemming_results = [{type = STEM, morpheme = اقليم}],0.0,0.0,0.0,0.0,0.03681776
Word = الاكاديميات, Stemming_results = [{type = STEM, morpheme = اكاديمي}],0.0,0.0,0.0,0.0,0.03681776
Word = الانبعاثات, Stemming_results = [{type = STEM, morpheme = انبعاث}],0.0,0.03747522,0.0,0.0,0.0
Word = الانتاجيه, Stemming_results = [{type = STEM, morpheme = انتاج}],0.03618297,0.0,0.0,0.0,0.0
Word = الانديه, Stemming_results = [{type = STEM, morpheme = اند}],0.0,0.0,0.0,0.0,0.03681776
Word = الانظمه, Stemming_results = [{type = STEM, morpheme = انظم}],0.0,0.0,0.0,0.04035793,0.0
Word = الباحثين, Stemming_results = [{type = STEM, morpheme = باحث}],0.0,0.0,0.0,0.04035793,0.0
Word = البشريه, Stemming_results = [{type = STEM, morpheme = بشر}],0.0,0.0,0.0,0.04035793,0.0
Word = البطولات, Stemming_results = [{type = STEM, morpheme = بطول}],0.0,0.0,0.0,0.0,0.07363552
Word = البعيده, Stemming_results = [{type = STEM, morpheme = بعيد}],0.0,0.0,0.041149262,0.0,0.0
Word = البنيه, Stemming_results = [{type = STEM, morpheme = بن}],0.0,0.0,0.0,0.0,0.03681776
Word = البيئي, Stemming_results = [{type = STEM, morpheme = بيا}],0.0,0.03747522,0.0,0.0,0.0
Word = البيانات, Stemming_results = [{type = STEM, morpheme = بيان}],0.029192192,0.0,0.0,0.032560524,0.0
Word = التحتيه, Stemming_results = [{type = STEM, morpheme = تحت}],0.029192192,0.0,0.0,0.0,0.029704336
Word = التحول, Stemming_results = [{type = STEM, morpheme = تحول}],0.03618297,0.0,0.0,0.0,0.0
Word = التطور, Stemming_results = [{type = STEM, morpheme = تطور}],0.0,0.0,0.0,0.04035793,0.0
Word = التطوع, Stemming_results = [{type = STEM, morpheme = تطوع}],0.0,0.0,0.041149262,0.0,0.0
Word = التعاون, Stemming_results = [{type = STEM, morpheme = تعا}],0.0,0.03747522,0.0,0.0,0.0
Word = التعلم, Stemming_results = [{type = STEM, morpheme = تعلم}],0.0,0.0,0.041149262,0.0,0.0
Word = التعليم, Stemming_results = [{type = STEM, morpheme = تعليم}],0.0,0.0,0.20574631,0.0,0.0
Word = التعليميه, Stemming_results = [{type = STEM, morpheme = تعليم}],0.0,0.0,0.0,0.04035793,0.0
Word = التفكير, Stemming_results = [{type = STEM, morpheme = تفكير}],0.0,0.0,0.0,0.04035793,0.0
Word = التقنيه, Stemming_results = [{type = STEM, morpheme = تقن}],0.029192192,0.0,0.0,0.032560524,0.0
Word = الجفاف, Stemming_results = [{type = STEM, morpheme = جفاف}],0.0,0.03747522,0.0,0.0,0.0
Word = الجمعيات, Stemming_results = [{type = STEM, morpheme = جمعي}],0.0,0.0,0.041149262,0.0,0.0
Word = الجمهور, Stemming_results = [{type = STEM, morpheme = جمهور}],0.0,0.0,0.0,0.0,0.03681776
